642,1000
1158,2000
1607,3000
1964,4000
2317,5000
2709,6000
3024,7000
3324,8000
3591,9000
3854,10000
4148,11000
4485,12000
4792,13000
5035,14000
5316,15000
5580,16000
5872,17000
6097,18000
6322,19000
6579,20000
6821,21000
7025,22000
7170,23000
7352,24000
7568,25000
7833,26000
8101,27000
8315,28000
8511,29000
8676,30000
8853,31000
9189,32000
9545,33000
9802,34000
10058,35000
10248,36000
10441,37000
10615,38000
10935,39000
11153,40000
11393,41000
11592,42000
11759,43000
11935,44000
12132,45000
12315,46000
12522,47000
12723,48000
12934,49000
13125,50000
13340,51000
13510,52000
13733,53000
13948,54000
14087,55000
14220,56000
14424,57000
14659,58000
14797,59000
14969,60000
15182,61000
15338,62000
15518,63000
15706,64000
15824,65000
15979,66000
16226,67000
16444,68000
16673,69000
16884,70000
17047,71000
17239,72000
17444,73000
17623,74000
17818,75000
17976,76000
18060,76286
