другому;15
показался;15
отправился;15
разные;15
двор;15
вижу;15
зять;15
оттуда;15
дороги;15
самому;15
станет;15
сейчас;15
решился;15
всякой;15
человеку;15
иной;15
хочу;15
никакой;15
душа;15
плюшкина;15
мертвых;15
выражение;15
письмо;15
около;14
также;14
туда;14
почтмейстер;14
каждый;14
подлец;14
ночь;14
ворота;14
своими;14
вопрос;14
порфирий;14
года;14
другом;14
нам;14
слегка;14
глядел;14
скорее;14
пять;14
ногами;14
например;14
всему;14
двадцать;14
другая;14
видит;14
обыкновенно;14
через;14
часто;14
коробочка;13
обед;13
эй;13
денег;13
мало;13
самых;13
таки;13
происходило;13
столько;13
дай;13
боже;13
этих;13
читатели;13
очи;13
любит;13
имя;13
воздух;13
извольте;13
сердце;13
тысяч;13
всякие;13
очутился;13
речь;13
мужиков;13
самый;13
самым;13
самой;13
самое;13
отчасти;13
голосом;13
мужики;13
сама;13
купцы;13
коли;13
кресла;13
никто;13
столе;13
читатель;13
мои;13
заметно;13
оказалось;13
экипаж;13
эдакой;13
можешь;13
нежели;12
вздор;12
двумя;12
бывают;12
эк;12
речи;12
брички;12
говоря;12
велел;12
остановился;12
возьми;12
почувствовал;12
сторон;12
чему;12
вниз;12
умел;12
иметь;12
внимание;12
вошел;12
та;12
отчего;12
деревни;12
таков;12
взял;12
покамест;12
душенька;12
гостя;12
беспрестанно;12
голос;12
иных;12
самые;12
пол;12
стояли;12
выражению;12
ступай;12
суд;12
словами;12
палаты;12
вверх;12
ногу;12
мысли;12
разумеется;12
сел;12
взгляд;12
писать;12
какою;12
стены;12
одним;12
плохо;12
которому;12
кому;11
получил;11
мошенник;11
длинный;11
кричал;11
дверей;11
духа;11
службу;11
могли;11
нигде;11
видом;11
особенно;11
видели;11
сегодня;11
мысль;11
всеми;11
учитель;11
селифану;11
слов;11
характер;11
мужика;11
уши;11
понять;11
правду;11
тотчас;11
n;11
нами;11
смотри;11
чрез;11
спросить;11
часть;11
картуз;11
сердца;11
де;11
успел;11
приезжий;11
мнения;11
едва;11
исправник;11
подобно;11
губы;11
белокурый;11
угол;11
повел;11
умер;11
местах;11
губернии;11
которыми;11
подобное;11
глава;11
чаю;11
подать;11
словам;11
этим;11
прощайте;11
платье;11
дядя;11
столом;11
деревня;11
стану;11
дня;11
руке;10
пора;10
пошла;10
отца;10
язык;10
шинель;10
странное;10
своему;10
давай;10
жена;10
вообще;10
никому;10
приехал;10
пяти;10
мире;10
купил;10
лошади;10
знакомый;10
показал;10
другу;10
показалось;10
слухи;10
никаких;10
желая;10
крепость;10
навстречу;10
сын;10
вдали;10
местами;10
скажу;10
живет;10
ум;10
напротив;10
спину;10
председателя;10
скажет;10
судырь;10
равно;10
сюртуке;10
пятнадцать;10
значит;10
рукой;10
вина;10
лицу;10
случай;10
видеть;10
десять;10
зная;10
какими;10
положении;10
сначала;10
должны;10
хорош;10
купчую;10
кнутом;10
такими;10
само;10
пожалуй;10
ухо;10
приятно;10
сорок;10
остается;10
мое;10
пожалуйста;10
мужчины;10
смерть;10
охотник;10
цвета;10
вывод;10
землю;10
часов;10
толку;9
будучи;9
угодно;9
рассказать;9
характера;9
продал;9
глядеть;9
детей;9
даром;9
ответ;9
могла;9
сзади;9
нашли;9
готова;9
дочку;9
лично;9
собакевичу;9
говорите;9
хотелось;9
чичиковым;9
глаз;9
вокруг;9
обратившись;9
продать;9
год;9
принять;9
помещика;9
шашки;9
кучу;9
поле;9
углу;9
барина;9
превосходительство;9
придется;9
принял;9
столу;9
извините;9
проснулся;9
отозвался;9
каков;9
ими;9
щеки;9
имени;9
странно;9
старался;9
внизу;9
кони;9
конце;9
фемистоклюс;9
написано;9
раза;9
духе;9
минуты;9
случалось;9
издали;9
ключница;9
хуже;9
налево;9
всякую;9
глазах;9
ловко;9
третий;9
полицеймейстера;9
вид;9
гораздо;9
совершить;9
улицы;9
счет;9
случилось;9
сих;9
шесть;9
головы;9
бойко;9
кроме;9
крепости;9
имеет;9
узнал;9
губернатору;9
баба;9
ивановича;9
множество;9
хорошего;9
помещица;9
никого;9
лицом;9
вещь;9
поближе;9
удовольствие;9
внимания;9
читателю;9
взявши;9
далее;9
ясно;9
носом;9
гостиницы;9
гости;9
видишь;9
б;9
общество;9
громко;9
хозяина;8
крестьяне;8
казну;8
расположение;8
страшно;8
отвечала;8
позабыл;8
сторонам;8
давал;8
тысячи;8
вообразить;8
той;8
крепко;8
вист;8
фестончики;8
легко;8
дому;8
ничем;8
тонкие;8
показав;8
вишь;8
знаем;8
иначе;8
сидит;8
делу;8
блюда;8
наружности;8
поговорить;8
приятели;8
расспросил;8
делал;8
разговора;8
настасья;8
ведает;8
удовольствия;8
старик;8
заседатель;8
первые;8
мухи;8
твои;8
деревне;8
григорьевич;8
твой;8
хлеба;8
светом;8
каждая;8
должна;8
должно;8
глядя;8
попробовал;8
петровна;8
здоровье;8
невесть;8
скажут;8
окно;8
пруд;8
стороне;8
моей;8
ярмарке;8
маленькие;8
гостей;8
изволь;8
трубку;8
хозяйстве;8
платить;8
подбородок;8
крыльцо;8
губернаторскую;8
мать;8
случаях;8
самая;8
позади;8
последней;8
кулак;8
поскорее;8
ивановна;8
лета;8
пальцем;8
вроде;8
двести;8
удовольствием;8
увидели;8
улицу;8
послал;8
воздухе;8
ума;8
ваша;8
начинал;8
бока;8
хороший;8
проситель;8
совершенный;8
ежеминутно;8
сомнения;8
губернаторша;8
приятеля;8
собак;8
славный;8
самую;8
целых;8
внимательно;8
песню;8
трактир;8
услышал;8
каково;8
такою;8
окон;8
любил;8
прокурора;8
купить;8
бабы;8
всякими;8
павла;8
избы;8
выходит;8
вскрикнул;8
словах;8
рука;7
пошло;7
продали;7
водится;7
историю;7
чиновника;7
принес;7
образ;7
поручик;7
слышал;7
идет;7
пот;7
рук;7
верст;7
русь;7
могло;7
нею;7
света;7
случается;7
всякому;7
вашей;7
держал;7
служил;7
экипажа;7
бедный;7
сени;7
диво;7
напрасно;7
бывало;7
нескольких;7
беда;7
необыкновенно;7
хорошее;7
обратился;7
недели;7
слезы;7
спит;7
бумажку;7
большим;7
хороших;7
шарманка;7
приговаривая;7
весело;7
подошел;7
обычаю;7
деревянные;7
множеством;7
мыслей;7
делом;7
сапожник;7
почтенный;7
половину;7
пирог;7
недавно;7
прочь;7
пола;7
третьего;7
смотреть;7
позабыв;7
чересчур;7
лицах;7
произнесла;7
сударь;7
думать;7
обеда;7
стул;7
дух;7
партии;7
сделалось;7
смеется;7
сильных;7
моего;7
тобою;7
видя;7
некоторые;7
обращения;7
причин;7
ничто;7
надобно;7
чиновник;7
конца;7
тридцать;7
имели;7
имела;7
говорила;7
действительно;7
искусно;7
дни;7
митяй;7
обоих;7
небольшим;7
тройка;7
причины;7
размышления;7
подчас;7
лишком;7
главное;7
остались;7
надул;7
отвечать;7
сделано;7
глазом;7
посмотрел;7
случится;7
штабс;7
дерева;7
лбу;7
живых;7
слушал;7
возьму;7
знаешь;7
белые;7
врачебной;7
селифана;7
платком;7
причине;7
посмотрите;7
половой;7
ночи;7
покупать;7
набок;7
черты;7
всякое;7
следовало;7
бал;7
бумажки;7
собственного;7
слуги;7
советник;7
вице;7
отказаться;7
улыбкою;7
обо;7
читал;7
заснул;7
закричал;7
приказал;7
скажи;7
совести;7
часы;7
копеек;7
шапку;7
сделался;7
предприятие;7
дамами;7
душе;7
говоришь;7
долг;7
чувство;7
небольшой;7
вечно;7
немало;7
думаешь;7
делается;7
носу;7
даст;7
впереди;7
конь;7
помещиком;7
лакей;7
управы;7
задумался;7
части;7
попробуй;7
автора;7
общества;7
думаете;7
вспомнил;7
прочие;7
держать;6
темно;6
кричит;6
постели;6
последний;6
миллионщик;6
недурно;6
запах;6
хочет;6
лес;6
братец;6
пальцами;6
особливо;6
летит;6
пропасть;6
дайте;6
думают;6
дружбе;6
увезти;6
гостья;6
табак;6
немец;6
видна;6
приказчик;6
необыкновенную;6
кармана;6
вечер;6
ответа;6
будь;6
порядочный;6
выйти;6
присутствия;6
числом;6
попал;6
вынул;6
готово;6
губернских;6
приказание;6
выше;6
страсть;6
мира;6
пыли;6
зеркало;6
этак;6
жены;6
вершины;6
деревянными;6
средней;6
улице;6
похожее;6
приятных;6
приехала;6
брал;6
странный;6
желание;6
маленькую;6
жил;6
больно;6
просьбу;6
целые;6
увидя;6
толстые;6
солнцем;6
плеча;6
новый;6
вышла;6
вышли;6
держи;6
жаль;6
ожидал;6
малый;6
заставил;6
покажется;6
помещики;6
ближе;6
произвел;6
слава;6
делатель;6
кем;6
получить;6
подхватил;6
блондинка;6
крепостной;6
продаст;6
относительно;6
копейку;6
похожим;6
одних;6
пути;6
обязанность;6
сапогами;6
экой;6
нужен;6
наши;6
приходил;6
ходил;6
женщина;6
дамам;6
тоненькие;6
полагаю;6
неожиданным;6
гостиной;6
сестры;6
надел;6
сделались;6
губами;6
узнает;6
креслах;6
вследствие;6
почтение;6
положим;6
положил;6
дорого;6
москве;6
должности;6
государства;6
вздохнувши;6
ребенок;6
бричке;6
говори;6
чубук;6
какому;6
хорошенько;6
уст;6
повесил;6
именем;6
службе;6
оттого;6
существует;6
самим;6
другими;6
наших;6
хлеб;6
побери;6
познакомиться;6
принеси;6
родной;6
кусок;6
мастер;6
признаться;6
немножко;6
чужой;6
приятный;6
наша;6
жить;6
слугою;6
дорогою;6
пройдет;6
небольшого;6
некоторых;6
класса;6
сто;6
петрушке;6
карты;6
книгу;6
хорошим;6
порядок;6
найти;6
столовую;6
рад;6
убыток;6
цена;6
пословица;6
гостиную;6
известного;6
поведение;6
россии;6
людьми;6
бестия;6
кровь;6
супруга;6
колесо;6
приказ;6
русского;6
стола;6
аппетит;6
щенка;6
полы;6
софья;6
маниловка;6
нового;6
чувства;6
думали;6
дурака;6
копейки;6
деревню;6
необыкновенною;6
вида;6
трех;6
сидя;6
коня;6
смех;6
ею;6
формы;6
радости;6
самовар;6
пьян;6
сделавши;6
пришел;6
обществе;6
гостям;6
смехом;6
этому;6
русскому;6
бороду;6
окну;5
двора;5
объяснил;5
комиссия;5
уважения;5
шляпу;5
шло;5
похудел;5
последние;5
расположении;5
начальник;5
количестве;5
умели;5
характере;5
границу;5
кусочек;5
бутылку;5
повыше;5
смотрел;5
пожалуйте;5
добродетельного;5
вечера;5
читателям;5
ребята;5
замечания;5
разговорах;5
муж;5
старые;5
похоже;5
лошадям;5
тож;5
вещей;5
морду;5
длинные;5
вообрази;5
иные;5
степан;5
нашим;5
серого;5
увидевши;5
