637;1000
1084;2000
1501;3000
1887;4000
2245;5000
2639;6000
3009;7000
3272;8000
3634;9000
3908;10000
4184;11000
4544;12000
4954;13000
5295;14000
5570;15000
5875;16000
6152;17000
6441;18000
6696;19000
6958;20000
7215;21000
7491;22000
7781;23000
8021;24000
8276;25000
8516;26000
8778;27000
9016;28000
9259;29000
9503;30000
9766;31000
10000;32000
10226;33000
10502;34000
10704;35000
10934;36000
11135;37000
11348;38000
11556;39000
11805;40000
12003;41000
12187;42000
12420;43000
12645;44000
12871;45000
13068;46000
13288;47000
13475;48000
13664;49000
13887;50000
14098;51000
14292;52000
14426;53000
14566;54000
14728;55000
14900;56000
15029;57000
15173;58000
15340;59000
15483;60000
15644;61000
15836;62000
15991;63000
16153;64000
16291;65000
16450;66000
16604;67000
16724;68000
16869;69000
17018;70000
17153;71000
17328;72000
17534;73000
17717;74000
17933;75000
18060;76000
18171;77000
18346;78000
18504;79000
18671;80000
18817;81000
18942;82000
19121;83000
19263;84000
19402;85000
19651;86000
19901;87000
20187;88000
20346;89000
20466;90000
20637;91000
20771;92000
20904;93000
21041;94000
21159;95000
21309;96000
21426;97000
21572;98000
21745;99000
21898;100000
22060;101000
22264;102000
22450;103000
22621;104000
22776;105000
22908;106000
23056;107000
23219;108000
23379;109000
23561;110000
23710;111000
23878;112000
24039;113000
24192;114000
24344;115000
24470;116000
24640;117000
24809;118000
24963;119000
25117;120000
25266;121000
25407;122000
25599;123000
25679;124000
25767;125000
25891;126000
26047;127000
26211;128000
26384;129000
26518;130000
26656;131000
26799;132000
26929;133000
27070;134000
27218;135000
27350;136000
27461;137000
27562;138000
27661;139000
27786;140000
27887;141000
28003;142000
28104;143000
28237;144000
28379;145000
28477;146000
28584;147000
28706;148000
28812;149000
28935;150000
29060;151000
29199;152000
29363;153000
29452;154000
29546;155000
29668;156000
29780;157000
29878;158000
29995;159000
30118;160000
30230;161000
30324;162000
30435;163000
30546;164000
30660;165000
30756;166000
30837;167000
30943;168000
31035;169000
31115;170000
31184;171000
31287;172000
31370;173000
31596;174000
31827;175000
32056;176000
32258;177000
32477;178000
32726;179000
32855;179581
